tract_geoid,disasterNumber,fema_claims_total,fema_claims_total_log1p,fema_claims_pc,applications,fema_claims_mean,declaration,tsa_eligible_rate,owner_rate,renter_rate,acs_total_population,svi_total_population,population_for_pc,median_household_income,pct_poverty,pct_elderly,pct_children,pct_black,pct_hispanic,pct_no_vehicle,pct_limited_english,housing_units,pct_mobile_homes,pct_multi_unit,pct_crowded_housing,max_wind_mph,total_rainfall_in,min_distance_km,pct_floodplain,in_fema_decl,in_noaa_exposure,coverage_label,state_abbr,county_name,acs_state_fips,state_fips,area_sq_mi,noaa_distance_km,noaa_max_wind_kt,noaa_duration_hours,noaa_within_64kt,noaa_wind_source,noaa_lead_time_cat1,noaa_lead_time_cat2,noaa_lead_time_cat3,noaa_lead_time_cat4,noaa_lead_time_cat5
22033000400,4611,1139.67,7.039371088047439,0.4363208269525268,3,1139.67,1,0.0,0.3333333333333333,0.6666666666666666,2612.0,2612.0,2612.0,30375.0,0.355,0.089,0.193,0.903,0.016,0.021,0.0069999999999999,1126.0,0.057,0.025,0.071,,,,,1,0,fema_only,LA,East Baton Rouge Parish,22.0,22.0,0.668219395462,40.5187354188922,65.40789378839057,2.5,,rmw_plateau,60.0,30.0,24.0,24.0,
22033000500,4611,575.81,6.357512922852354,0.1819879898862199,3,287.905,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,3164.0,3164.0,3164.0,23588.0,0.578,0.081,0.218,0.959,0.002,0.2689999999999999,0.002,1611.0,0.003,0.02,0.018,,,,,1,0,fema_only,LA,East Baton Rouge Parish,22.0,22.0,0.896565909792,42.44235091857901,65.90971212249667,1.25,,rmw_plateau,60.0,30.0,24.0,24.0,
22033000601,4611,0.0,0.0,0.0,4,0.0,1,0.25,0.75,0.25,2477.0,2477.0,2477.0,20453.0,0.4529999999999999,0.148,0.236,0.992,0.0,0.121,0.0,1242.0,0.0,0.139,0.021,,,,,1,0,fema_only,LA,East Baton Rouge Parish,22.0,22.0,0.579676554312,40.822110184256445,65.91666882252348,2.25,,rmw_plateau,60.0,30.0,24.0,24.0,
22033000602,4611,0.0,0.0,0.0,6,0.0,1,0.0,0.3333333333333333,0.6666666666666666,3849.0,3849.0,3849.0,24000.0,0.493,0.2189999999999999,0.186,0.997,0.003,0.157,0.0,1767.0,0.046,0.092,0.004,,,,,1,0,fema_only,LA,East Baton Rouge Parish,22.0,22.0,0.899697197012,41.10451931828074,66.50488312961235,2.25,,rmw_plateau,60.0,30.0,24.0,24.0,
22033000701,4611,0.0,0.0,0.0,2,0.0,1,0.0,0.5,0.5,2043.0,2043.0,2043.0,28861.0,0.595,0.093,0.303,0.932,0.067,0.161,0.043,852.0,0.059,0.24,0.033,,,,,1,0,fema_only,LA,East Baton Rouge Parish,22.0,22.0,0.817590676202,38.727488362660466,66.18528603016324,3.25,,rmw_plateau,60.0,30.0,24.0,24.0,
22033000702,4611,0.0,0.0,0.0,4,0.0,1,0.0,0.0,1.0,3143.0,3143.0,3143.0,43333.0,0.409,0.13,0.28,0.95,0.01,0.105,0.0,1368.0,0.0069999999999999,0.331,0.0,,,,,1,0,fema_only,LA,East Baton Rouge Parish,22.0,22.0,0.986734240362,38.63901209619456,66.68212398513137,3.25,,rmw_plateau,60.0,30.0,24.0,24.0,
22033000900,4611,0.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,3747.0,3747.0,3747.0,36331.0,0.495,0.214,0.1939999999999999,0.932,0.015,0.081,0.0,1820.0,0.0,0.0,0.042,,,,,1,0,fema_only,LA,East Baton Rouge Parish,22.0,22.0,0.834861790866,42.823342353336514,66.8426073373618,1.0,,rmw_plateau,60.0,30.0,24.0,24.0,
22033001000,4611,0.0,0.0,0.0,9,0.0,1,0.1111111111111111,0.4444444444444444,0.5555555555555556,2914.0,2914.0,2914.0,36529.0,0.465,0.106,0.2,0.971,0.027,0.125,0.0,1404.0,0.0069999999999999,0.043,0.009,,,,,1,0,fema_only,LA,East Baton Rouge Parish,22.0,22.0,0.732627000592,41.39281827148275,67.17733632877312,2.25,,rmw_plateau,60.0,30.0,24.0,24.0,
22033001102,4611,600.0,6.398594934535208,0.146771037181996,9,200.0,1,0.0,0.0,1.0,4088.0,4088.0,4088.0,26826.0,0.469,0.16,0.32,0.7859999999999999,0.001,0.228,0.002,1980.0,0.033,0.589,0.052,,,,,1,0,fema_only,LA,East Baton Rouge Parish,22.0,22.0,1.088972505554,37.241298736842104,67.65675176962759,3.75,,rmw_plateau,60.0,30.0,24.0,24.0,
22033001103,4611,592.48,6.386003515082593,0.1485284532464277,4,296.24,1,0.0,0.5,0.5,3989.0,3989.0,3989.0,31347.0,0.504,0.085,0.401,0.5,0.005,0.298,0.006,1291.0,0.002,0.207,0.0,,,,,1,0,fema_only,LA,East Baton Rouge Parish,22.0,22.0,0.906205332324,39.92230204975608,67.32571042850653,2.75,,rmw_plateau,60.0,30.0,24.0,24.0,
22033001104,4611,1150.81,7.049089897097741,0.3682592,6,575.405,1,0.0,0.1666666666666666,0.8333333333333334,3125.0,3125.0,3125.0,21376.0,0.7140000000000001,0.098,0.275,0.8420000000000001,0.1159999999999999,0.347,0.061,2068.0,0.006,0.6629999999999999,0.06,,,,,1,0,fema_only,LA,East Baton Rouge Parish,22.0,22.0,0.999803793062,38.63850917916627,67.53214057494482,3.25,,rmw_plateau,60.0,30.0,24.0,24.0,
22033001600,4611,0.0,0.0,0.0,4,0.0,1,0.0,0.25,0.75,3065.0,3065.0,3065.0,52692.0,0.281,0.159,0.192,0.282,0.0819999999999999,0.062,0.0,1910.0,0.0,0.045,0.0,,,,,1,0,fema_only,LA,East Baton Rouge Parish,22.0,22.0,0.734399208772,43.24396224518833,67.70297499643104,0.75,,rmw_plateau,60.0,30.0,24.0,24.0,
