tract_geoid,NAME,state_fips,total_population,median_household_income
48021950506,Census Tract 9505.06; Bastrop County; Texas,48,5415,65956
48021950601,Census Tract 9506.01; Bastrop County; Texas,48,3770,81512
48021950602,Census Tract 9506.02; Bastrop County; Texas,48,2176,72703
48021950700,Census Tract 9507; Bastrop County; Texas,48,4402,56190
48021950803,Census Tract 9508.03; Bastrop County; Texas,48,2572,86667
48021950804,Census Tract 9508.04; Bastrop County; Texas,48,6006,70104
48021950805,Census Tract 9508.05; Bastrop County; Texas,48,6588,80833
48021950806,Census Tract 9508.06; Bastrop County; Texas,48,3498,60206
48023950301,Census Tract 9503.01; Baylor County; Texas,48,1277,34375
48023950302,Census Tract 9503.02; Baylor County; Texas,48,2198,54014
48025950100,Census Tract 9501; Bee County; Texas,48,1727,62917
48025950201,Census Tract 9502.01; Bee County; Texas,48,8032,86765
48025950203,Census Tract 9502.03; Bee County; Texas,48,1778,53446
48025950204,Census Tract 9502.04; Bee County; Texas,48,3199,70056
48025950300,Census Tract 9503; Bee County; Texas,48,5405,62083
48025950400,Census Tract 9504; Bee County; Texas,48,1970,41563
48025950501,Census Tract 9505.01; Bee County; Texas,48,3352,49427
48025950502,Census Tract 9505.02; Bee County; Texas,48,3160,28229
48025950600,Census Tract 9506; Bee County; Texas,48,2354,46324
48027020101,Census Tract 201.01; Bell County; Texas,48,3341,62984
48027020102,Census Tract 201.02; Bell County; Texas,48,3496,88145
48027020201,Census Tract 202.01; Bell County; Texas,48,8328,106957
48027020203,Census Tract 202.03; Bell County; Texas,48,4118,79842
48027020204,Census Tract 202.04; Bell County; Texas,48,3681,56415
48027020301,Census Tract 203.01; Bell County; Texas,48,9802,97401
48027020302,Census Tract 203.02; Bell County; Texas,48,4922,72351
48027020401,Census Tract 204.01; Bell County; Texas,48,3822,48330
48027020402,Census Tract 204.02; Bell County; Texas,48,3181,49044
48027020500,Census Tract 205; Bell County; Texas,48,3704,60551
48027020600,Census Tract 206; Bell County; Texas,48,2885,73750
48027020701,Census Tract 207.01; Bell County; Texas,48,1308,19252
48027020702,Census Tract 207.02; Bell County; Texas,48,1644,32188
48027020800,Census Tract 208; Bell County; Texas,48,3018,24600
48027020900,Census Tract 209; Bell County; Texas,48,3275,33621
48027021000,Census Tract 210; Bell County; Texas,48,3769,36892
48027021101,Census Tract 211.01; Bell County; Texas,48,3032,58500
48027021102,Census Tract 211.02; Bell County; Texas,48,3054,39432
48027021201,Census Tract 212.01; Bell County; Texas,48,3770,57876
48027021202,Census Tract 212.02; Bell County; Texas,48,3757,54442
48027021203,Census Tract 212.03; Bell County; Texas,48,5045,46966
48027021301,Census Tract 213.01; Bell County; Texas,48,6172,63125
48027021302,Census Tract 213.02; Bell County; Texas,48,2615,74667
48027021304,Census Tract 213.04; Bell County; Texas,48,5349,60632
48027021305,Census Tract 213.05; Bell County; Texas,48,6238,102724
48027021400,Census Tract 214; Bell County; Texas,48,4988,83884
48027021501,Census Tract 215.01; Bell County; Texas,48,3808,42917
48027021502,Census Tract 215.02; Bell County; Texas,48,4306,93549
48027021601,Census Tract 216.01; Bell County; Texas,48,6112,42033
48027021602,Census Tract 216.02; Bell County; Texas,48,3058,31205
48027021701,Census Tract 217.01; Bell County; Texas,48,6485,92350
48027021702,Census Tract 217.02; Bell County; Texas,48,4057,61475
48027021801,Census Tract 218.01; Bell County; Texas,48,5667,57131
48027021802,Census Tract 218.02; Bell County; Texas,48,5604,111297
48027021901,Census Tract 219.01; Bell County; Texas,48,3727,47051
48027021905,Census Tract 219.05; Bell County; Texas,48,3803,89838
48027021906,Census Tract 219.06; Bell County; Texas,48,4926,105982
48027021907,Census Tract 219.07; Bell County; Texas,48,6710,67292
48027021908,Census Tract 219.08; Bell County; Texas,48,6648,91711
48027022001,Census Tract 220.01; Bell County; Texas,48,4640,38046
48027022002,Census Tract 220.02; Bell County; Texas,48,5297,85000
48027022101,Census Tract 221.01; Bell County; Texas,48,4006,47756
48027022103,Census Tract 221.03; Bell County; Texas,48,5953,64239
48027022104,Census Tract 221.04; Bell County; Texas,48,4282,44247
48027022105,Census Tract 221.05; Bell County; Texas,48,2195,49250
48027022200,Census Tract 222; Bell County; Texas,48,4603,52186
48027022300,Census Tract 223; Bell County; Texas,48,4042,35990
48027022401,Census Tract 224.01; Bell County; Texas,48,6151,49013
48027022402,Census Tract 224.02; Bell County; Texas,48,7868,108966
48027022403,Census Tract 224.03; Bell County; Texas,48,4557,69658
48027022405,Census Tract 224.05; Bell County; Texas,48,2477,52395
48027022406,Census Tract 224.06; Bell County; Texas,48,4414,79701
48027022407,Census Tract 224.07; Bell County; Texas,48,3537,78201
48027022501,Census Tract 225.01; Bell County; Texas,48,3401,43427
48027022503,Census Tract 225.03; Bell County; Texas,48,4408,58809
48027022504,Census Tract 225.04; Bell County; Texas,48,7909,87851
48027022600,Census Tract 226; Bell County; Texas,48,4261,34974
48027022801,Census Tract 228.01; Bell County; Texas,48,2413,30994
48027022900,Census Tract 229; Bell County; Texas,48,3981,32698
48027023001,Census Tract 230.01; Bell County; Texas,48,6002,70197
48027023002,Census Tract 230.02; Bell County; Texas,48,3670,59113
48027023103,Census Tract 231.03; Bell County; Texas,48,4744,41273
48027023104,Census Tract 231.04; Bell County; Texas,48,2843,42323
48027023109,Census Tract 231.09; Bell County; Texas,48,3440,61984
48027023110,Census Tract 231.10; Bell County; Texas,48,3791,31910
48027023111,Census Tract 231.11; Bell County; Texas,48,5368,67159
48027023112,Census Tract 231.12; Bell County; Texas,48,4442,53829
