tract_geoid,applications,ppfvl_sum,ppfvl_mean,tsa_eligible_rate,owner_rate,renter_rate
12007000300,4,0.0,0.0,0.75,0.75,0.25
12007000400,1,0.0,,1.0,1.0,0.0
12009060101,4,0.0,0.0,0.25,0.5,0.5
12009060102,1,341.7,341.7,0.0,1.0,0.0
12009060200,4,341.7,113.89999999999999,0.5,0.75,0.25
12009060300,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12009060400,3,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
12009060500,2,0.0,0.0,0.5,0.5,0.5
12009060600,4,1025.1,341.7,0.25,0.25,0.75
12009060700,6,0.0,0.0,0.16666666666666666,0.0,1.0
12009061001,2,0.0,0.0,0.5,0.5,0.5
12009061002,1,0.0,,0.0,0.0,1.0
12009061201,2,0.0,0.0,0.5,0.5,0.5
12009061202,1,0.0,,1.0,1.0,0.0
12009062103,7,0.0,0.0,0.42857142857142855,0.7142857142857143,0.2857142857142857
12009062104,4,0.0,,0.0,1.0,0.0
12009062107,2,0.0,0.0,0.0,1.0,0.0
12009062108,6,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666
12009062109,2,0.0,,0.0,0.5,0.5
12009062301,9,2269.5,324.2142857142857,0.3333333333333333,0.4444444444444444,0.5555555555555556
12009062302,5,683.4,227.79999999999998,0.4,0.2,0.8
12009062400,9,0.0,0.0,0.2222222222222222,0.7777777777777778,0.2222222222222222
12009062500,5,341.7,113.89999999999999,0.0,0.8,0.2
12009062600,7,5441.7,1360.425,0.14285714285714285,0.42857142857142855,0.5714285714285714
12009062800,2,0.0,0.0,0.5,0.5,0.5
12009062900,7,683.4,227.79999999999998,0.42857142857142855,0.5714285714285714,0.42857142857142855
12009063000,2,0.0,0.0,0.5,1.0,0.0
12009063102,2,0.0,,0.0,0.5,0.5
12009063104,2,1927.8,1927.8,0.0,1.0,0.0
12009063105,3,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
12009063106,2,0.0,0.0,0.0,1.0,0.0
12009063107,1,0.0,0.0,0.0,1.0,0.0
12009064102,1,0.0,,1.0,1.0,0.0
12009064123,2,341.7,341.7,0.0,0.5,0.5
12009064124,4,0.0,0.0,0.0,0.75,0.25
12009064125,1,0.0,0.0,0.0,1.0,0.0
12009064126,2,0.0,0.0,0.0,0.5,0.5
12009064127,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12009064128,5,0.0,0.0,0.2,1.0,0.0
12009064201,2,0.0,,0.0,0.5,0.5
12009064202,1,0.0,0.0,1.0,0.0,1.0
12009064301,3,341.7,341.7,0.0,0.3333333333333333,0.6666666666666666
12009064302,4,0.0,,0.5,0.75,0.25
12009064400,1,0.0,0.0,0.0,1.0,0.0
12009064500,4,0.0,,0.0,0.25,0.75
12009064601,2,0.0,0.0,0.5,0.5,0.5
12009064602,2,0.0,0.0,0.0,0.5,0.5
12009064700,2,0.0,0.0,0.0,1.0,0.0
12009064901,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
12009064902,6,1927.8,642.6,0.5,0.6666666666666666,0.3333333333333333
