model,r2,rmse,mae,mape,explained_variance
knn,0.08415279575357282,2746.1400596453095,1552.6383102731081,0.8554202677726557,0.3459368505509852
decision_tree,0.4585611136076916,2111.4747553732864,949.5964968779177,0.47875997882401655,0.4659952997181682
random_forest,0.8520230158717244,1103.845413383805,527.9675349813879,0.3184119009083093,0.8625314086865162
bagging,0.8543987389968439,1094.9486176646112,531.9180785289659,0.3148646905564124,0.8610850397115003
