model,r2,rmse,mae,mape,explained_variance
knn,0.029219180353529217,3020.0759411008266,1405.765408165914,0.8508280786262238,0.23310185263517524
decision_tree,0.666442588051565,1770.2824658683428,669.3695523791458,0.46935870725233236,0.6671541948115363
random_forest,0.8002996842925156,1369.766831814646,546.1667900877239,0.3323705314211876,0.8055783830477802
bagging,0.8021856794829627,1363.2833617007866,545.1755042547654,0.3319966134738457,0.807316952303217
