GEO_ID,NAME,B01003_001E,B19013_001E,state,county,tract,state_fips
1400000US48015760501,Census Tract 7605.01; Austin County; Texas,4189,84936,48,015,760501,48
1400000US48015760502,Census Tract 7605.02; Austin County; Texas,5778,72176,48,015,760502,48
1400000US48017950101,Census Tract 9501.01; Bailey County; Texas,4452,78547,48,017,950101,48
1400000US48017950102,Census Tract 9501.02; Bailey County; Texas,2450,65928,48,017,950102,48
1400000US48019000101,Census Tract 1.01; Bandera County; Texas,4796,68750,48,019,000101,48
1400000US48019000103,Census Tract 1.03; Bandera County; Texas,3516,54539,48,019,000103,48
1400000US48019000104,Census Tract 1.04; Bandera County; Texas,1263,96023,48,019,000104,48
1400000US48019000200,Census Tract 2; Bandera County; Texas,2771,68053,48,019,000200,48
1400000US48019000301,Census Tract 3.01; Bandera County; Texas,3021,72012,48,019,000301,48
1400000US48019000302,Census Tract 3.02; Bandera County; Texas,3435,72400,48,019,000302,48
1400000US48019000400,Census Tract 4; Bandera County; Texas,2380,80265,48,019,000400,48
1400000US48021950101,Census Tract 9501.01; Bastrop County; Texas,6444,97707,48,021,950101,48
1400000US48021950102,Census Tract 9501.02; Bastrop County; Texas,4630,90570,48,021,950102,48
1400000US48021950201,Census Tract 9502.01; Bastrop County; Texas,3274,63393,48,021,950201,48
1400000US48021950202,Census Tract 9502.02; Bastrop County; Texas,5952,87979,48,021,950202,48
1400000US48021950301,Census Tract 9503.01; Bastrop County; Texas,5519,109141,48,021,950301,48
1400000US48021950302,Census Tract 9503.02; Bastrop County; Texas,5024,74592,48,021,950302,48
1400000US48021950303,Census Tract 9503.03; Bastrop County; Texas,8216,82352,48,021,950303,48
1400000US48021950401,Census Tract 9504.01; Bastrop County; Texas,5612,74202,48,021,950401,48
1400000US48021950402,Census Tract 9504.02; Bastrop County; Texas,2699,120542,48,021,950402,48
1400000US48021950403,Census Tract 9504.03; Bastrop County; Texas,4288,88795,48,021,950403,48
1400000US48021950503,Census Tract 9505.03; Bastrop County; Texas,3929,72681,48,021,950503,48
1400000US48021950504,Census Tract 9505.04; Bastrop County; Texas,3462,92875,48,021,950504,48
1400000US48021950505,Census Tract 9505.05; Bastrop County; Texas,4959,61691,48,021,950505,48
1400000US48021950506,Census Tract 9505.06; Bastrop County; Texas,5415,65956,48,021,950506,48
1400000US48021950601,Census Tract 9506.01; Bastrop County; Texas,3770,81512,48,021,950601,48
1400000US48021950602,Census Tract 9506.02; Bastrop County; Texas,2176,72703,48,021,950602,48
1400000US48021950700,Census Tract 9507; Bastrop County; Texas,4402,56190,48,021,950700,48
1400000US48021950803,Census Tract 9508.03; Bastrop County; Texas,2572,86667,48,021,950803,48
1400000US48021950804,Census Tract 9508.04; Bastrop County; Texas,6006,70104,48,021,950804,48
1400000US48021950805,Census Tract 9508.05; Bastrop County; Texas,6588,80833,48,021,950805,48
1400000US48021950806,Census Tract 9508.06; Bastrop County; Texas,3498,60206,48,021,950806,48
1400000US48023950301,Census Tract 9503.01; Baylor County; Texas,1277,34375,48,023,950301,48
1400000US48023950302,Census Tract 9503.02; Baylor County; Texas,2198,54014,48,023,950302,48
1400000US48025950100,Census Tract 9501; Bee County; Texas,1727,62917,48,025,950100,48
1400000US48025950201,Census Tract 9502.01; Bee County; Texas,8032,86765,48,025,950201,48
1400000US48025950203,Census Tract 9502.03; Bee County; Texas,1778,53446,48,025,950203,48
1400000US48025950204,Census Tract 9502.04; Bee County; Texas,3199,70056,48,025,950204,48
1400000US48025950300,Census Tract 9503; Bee County; Texas,5405,62083,48,025,950300,48
1400000US48025950400,Census Tract 9504; Bee County; Texas,1970,41563,48,025,950400,48
1400000US48025950501,Census Tract 9505.01; Bee County; Texas,3352,49427,48,025,950501,48
1400000US48025950502,Census Tract 9505.02; Bee County; Texas,3160,28229,48,025,950502,48
1400000US48025950600,Census Tract 9506; Bee County; Texas,2354,46324,48,025,950600,48
1400000US48027020101,Census Tract 201.01; Bell County; Texas,3341,62984,48,027,020101,48
1400000US48027020102,Census Tract 201.02; Bell County; Texas,3496,88145,48,027,020102,48
1400000US48027020201,Census Tract 202.01; Bell County; Texas,8328,106957,48,027,020201,48
1400000US48027020203,Census Tract 202.03; Bell County; Texas,4118,79842,48,027,020203,48
1400000US48027020204,Census Tract 202.04; Bell County; Texas,3681,56415,48,027,020204,48
