model,phase,r2,rmse,mae,mape,explained_variance
knn,baseline,0.7903489957298933,1676.1764344866972,492.8841678658219,0.7877806201478017,0.8007461566786515
knn,tuned,0.7025549481011946,1996.524442243336,557.2241183255969,0.8111041530127718,0.7178178591091888
decision_tree,baseline,0.8102883893894476,1594.4768295370466,362.1834920634921,0.33884091058143034,0.8105227340733219
decision_tree,tuned,0.8444395154168678,1443.846088624042,338.35659249745714,0.31215675347484934,0.8444411622863939
random_forest,baseline,0.9252722853310758,1000.718912223196,265.38539782221255,0.27431417462404817,0.925483362280904
random_forest,tuned,0.9243928498230982,1006.5901849984161,265.5671716725754,0.27364904887623576,0.9246020272996065
bagging,baseline,0.928319508441149,980.1030585537687,272.93239167225363,0.2996303608396804,0.9285155109085153
bagging,tuned,0.9268645138932949,990.0003159515727,261.80628293176056,0.2725415751076734,0.9270609671854193
