tract_geoid,disasterNumber,applications,ppfvl_sum,ppfvl_mean,tsa_eligible_rate,owner_rate,renter_rate,storm_name
12005002400,4399,10,9922.5,1417.5,0.2,0.4,0.6,Michael
12005002500,4399,6,2235.93,745.31,0.1666666666666666,0.8333333333333334,0.1666666666666666,Michael
12005002601,4399,1,0.0,,1.0,1.0,0.0,Michael
12005002603,4399,5,0.0,0.0,0.2,0.4,0.6,Michael
12005002604,4399,5,0.0,0.0,0.0,0.8,0.2,Michael
12005002605,4399,2,0.0,,0.0,0.5,0.5,Michael
12005002606,4399,3,1384.93,692.465,0.0,0.6666666666666666,0.3333333333333333,Michael
12005002607,4399,3,1022.36,1022.36,0.3333333333333333,0.6666666666666666,0.3333333333333333,Michael
12005002608,4399,2,0.0,0.0,0.0,1.0,0.0,Michael
12005002701,4399,1,0.0,0.0,1.0,1.0,0.0,Michael
12005002702,4399,1,0.0,0.0,0.0,0.0,1.0,Michael
12005002704,4399,7,0.0,0.0,0.0,0.7142857142857143,0.1428571428571428,Michael
12005002705,4399,3,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,Michael
12007000100,4337,5,0.0,0.0,0.4,0.2,0.8,Irma
12007000200,4337,7,0.0,0.0,0.4285714285714285,0.7142857142857143,0.2857142857142857,Irma
12007000300,4337,4,0.0,0.0,0.75,0.75,0.25,Irma
12007000400,4337,1,0.0,,1.0,1.0,0.0,Irma
12009060101,4337,4,0.0,0.0,0.25,0.5,0.5,Irma
12009060102,4337,1,341.7,341.7,0.0,1.0,0.0,Irma
12009060200,4337,4,341.7,113.9,0.5,0.75,0.25,Irma
12009060300,4337,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,Irma
12009060400,4337,3,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,Irma
12009060500,4337,2,0.0,0.0,0.5,0.5,0.5,Irma
12009060600,4337,4,1025.1,341.7,0.25,0.25,0.75,Irma
12009060700,4337,6,0.0,0.0,0.1666666666666666,0.0,1.0,Irma
12009061001,4337,2,0.0,0.0,0.5,0.5,0.5,Irma
12009061002,4337,1,0.0,,0.0,0.0,1.0,Irma
12009061201,4337,2,0.0,0.0,0.5,0.5,0.5,Irma
12009061202,4337,1,0.0,,1.0,1.0,0.0,Irma
12009062103,4337,7,0.0,0.0,0.4285714285714285,0.7142857142857143,0.2857142857142857,Irma
12009062104,4337,4,0.0,,0.0,1.0,0.0,Irma
12009062107,4337,2,0.0,0.0,0.0,1.0,0.0,Irma
12009062108,4337,6,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,Irma
12009062109,4337,2,0.0,,0.0,0.5,0.5,Irma
12009062301,4337,9,2269.5,324.2142857142857,0.3333333333333333,0.4444444444444444,0.5555555555555556,Irma
12009062302,4337,5,683.4,227.8,0.4,0.2,0.8,Irma
12009062400,4337,9,0.0,0.0,0.2222222222222222,0.7777777777777778,0.2222222222222222,Irma
12009062500,4337,5,341.7,113.9,0.0,0.8,0.2,Irma
12009062600,4337,7,5441.7,1360.425,0.1428571428571428,0.4285714285714285,0.5714285714285714,Irma
12009062800,4337,2,0.0,0.0,0.5,0.5,0.5,Irma
12009062900,4337,7,683.4,227.8,0.4285714285714285,0.5714285714285714,0.4285714285714285,Irma
12009063000,4337,2,0.0,0.0,0.5,1.0,0.0,Irma
12009063102,4337,2,0.0,,0.0,0.5,0.5,Irma
12009063104,4337,2,1927.8,1927.8,0.0,1.0,0.0,Irma
